year,till_id,cctrt_id,straw_id,value2,name,cat
2018,surface,rad_M,removed,0.5019333333333333,benef,service
2018,surface,mix_E,retained,0.05002344456619877,benef,service
2018,surface,mix_M,retained,0.019594688438438437,benef,service
2018,surface,nocc,retained,0.008232732732732732,benef,service
2018,surface,rad_L,retained,0.19875833333333334,benef,service
2018,surface,rad_M,retained,0.5227875502306503,benef,service
2019,inversion,mix_E,removed,0.185747821307208,benef,service
2019,inversion,mix_M,removed,0.09195518993893706,benef,service
2019,inversion,nocc,removed,0.16443389931497907,benef,service
2019,inversion,rad_L,removed,0.3068149805610205,benef,service
2019,inversion,rad_M,removed,0.42321983658211854,benef,service
2019,inversion,mix_E,retained,0.07131783251754752,benef,service
2019,inversion,mix_M,retained,0.045871890596949655,benef,service
2019,inversion,nocc,retained,0.0980299292457543,benef,service
2019,inversion,rad_L,retained,0.22699634570234298,benef,service
2019,inversion,rad_M,retained,0.4179752705626784,benef,service
2019,notill,mix_E,removed,0.1744496482247973,benef,service
2019,notill,mix_M,removed,0.08740990864813741,benef,service
2019,notill,nocc,removed,0.1381963927358672,benef,service
2019,notill,rad_L,removed,0.29444074280416843,benef,service
2019,notill,rad_M,removed,0.45626075514333897,benef,service
2019,notill,mix_E,retained,0.13438178415131335,benef,service
2019,notill,mix_M,retained,0.03499462996229533,benef,service
2019,notill,nocc,retained,0.05950722736894023,benef,service
2019,notill,rad_L,retained,0.1406778943262426,benef,service
2019,notill,rad_M,retained,0.5123859876306303,benef,service
2019,surface,mix_E,removed,0.18011713497298992,benef,service
2019,surface,mix_M,removed,0.04400406607814946,benef,service
2019,surface,nocc,removed,0.11813195386740505,benef,service
2019,surface,rad_L,removed,0.23065352418920926,benef,service
2019,surface,rad_M,removed,0.4414590948183095,benef,service
2019,surface,mix_E,retained,0.1755940483622666,benef,service
2019,surface,mix_M,retained,0.02972404764369148,benef,service
2019,surface,nocc,retained,0.09180325919038212,benef,service
2019,surface,rad_L,retained,0.16693547795552263,benef,service
2019,surface,rad_M,retained,0.35985781224626134,benef,service
2018,inversion,mix_E,removed,0.1272,load_ha,dis-service
2018,inversion,mix_M,removed,1.19727,load_ha,dis-service
2018,inversion,nocc,removed,1.19727,load_ha,dis-service
2018,inversion,rad_L,removed,1.19727,load_ha,dis-service
2018,inversion,rad_M,removed,1.19727,load_ha,dis-service
2018,inversion,mix_E,retained,0.1272,load_ha,dis-service
2018,inversion,mix_M,retained,1.19727,load_ha,dis-service
2018,inversion,nocc,retained,1.19727,load_ha,dis-service
2018,inversion,rad_L,retained,1.19727,load_ha,dis-service
2018,inversion,rad_M,retained,1.19727,load_ha,dis-service
2018,notill,mix_E,removed,0.3256,load_ha,dis-service
2018,notill,mix_M,removed,1.39567,load_ha,dis-service
2018,notill,nocc,removed,1.39567,load_ha,dis-service
2018,notill,rad_L,removed,1.39567,load_ha,dis-service
2018,notill,rad_M,removed,1.39567,load_ha,dis-service
2018,notill,mix_E,retained,0.3256,load_ha,dis-service
2018,notill,mix_M,retained,1.39567,load_ha,dis-service
2018,notill,nocc,retained,1.39567,load_ha,dis-service
2018,notill,rad_L,retained,1.39567,load_ha,dis-service
2018,notill,rad_M,retained,1.39567,load_ha,dis-service
2018,surface,mix_E,removed,0.3256,load_ha,dis-service
2018,surface,mix_M,removed,1.39567,load_ha,dis-service
2018,surface,nocc,removed,1.39567,load_ha,dis-service
2018,surface,rad_L,removed,1.39567,load_ha,dis-service
2018,surface,rad_M,removed,1.39567,load_ha,dis-service
2018,surface,mix_E,retained,0.3256,load_ha,dis-service
2018,surface,mix_M,retained,1.39567,load_ha,dis-service
2018,surface,nocc,retained,1.39567,load_ha,dis-service
2018,surface,rad_L,retained,1.39567,load_ha,dis-service
2018,surface,rad_M,retained,1.39567,load_ha,dis-service
2019,inversion,mix_E,removed,0.1452,load_ha,dis-service
2019,inversion,mix_M,removed,0.286,load_ha,dis-service
2019,inversion,nocc,removed,0.286,load_ha,dis-service
2019,inversion,rad_L,removed,0.286,load_ha,dis-service
2019,inversion,rad_M,removed,0.286,load_ha,dis-service
2019,inversion,mix_E,retained,0.1452,load_ha,dis-service
2019,inversion,mix_M,retained,0.286,load_ha,dis-service
2019,inversion,nocc,retained,0.286,load_ha,dis-service
2019,inversion,rad_L,retained,0.286,load_ha,dis-service
2019,inversion,rad_M,retained,0.286,load_ha,dis-service
2019,notill,mix_E,removed,0.3436,load_ha,dis-service
2019,notill,mix_M,removed,0.48439999999999994,load_ha,dis-service
2019,notill,nocc,removed,0.48439999999999994,load_ha,dis-service
2019,notill,rad_L,removed,0.48439999999999994,load_ha,dis-service
2019,notill,rad_M,removed,0.48439999999999994,load_ha,dis-service
2019,notill,mix_E,retained,0.3436,load_ha,dis-service
2019,notill,mix_M,retained,0.48439999999999994,load_ha,dis-service
2019,notill,nocc,retained,0.48439999999999994,load_ha,dis-service
2019,notill,rad_L,retained,0.48439999999999994,load_ha,dis-service
2019,notill,rad_M,retained,0.48439999999999994,load_ha,dis-service
2019,surface,mix_E,removed,0.3436,load_ha,dis-service
2019,surface,mix_M,removed,0.48439999999999994,load_ha,dis-service
2019,surface,nocc,removed,0.48439999999999994,load_ha,dis-service
2019,surface,rad_L,removed,0.48439999999999994,load_ha,dis-service
2019,surface,rad_M,removed,0.48439999999999994,load_ha,dis-service
2019,surface,mix_E,retained,0.3436,load_ha,dis-service
2019,surface,mix_M,retained,0.48439999999999994,load_ha,dis-service
2019,surface,nocc,retained,0.48439999999999994,load_ha,dis-service
2019,surface,rad_L,retained,0.48439999999999994,load_ha,dis-service
2019,surface,rad_M,retained,0.48439999999999994,load_ha,dis-service
2018,inversion,mix_E,removed,0.0280175,harm,dis-service
2018,inversion,mix_M,removed,0.019759583333333334,harm,dis-service
2018,inversion,nocc,removed,0.005463333333333333,harm,dis-service
2018,inversion,rad_L,removed,0.0332325,harm,dis-service
2018,inversion,rad_M,removed,0.050570833333333336,harm,dis-service
2018,inversion,mix_E,retained,0.019966666666666667,harm,dis-service
2018,inversion,mix_M,retained,0.004645,harm,dis-service
2018,inversion,nocc,retained,0.0038008333333333336,harm,dis-service
2018,inversion,rad_L,retained,0.022983333333333335,harm,dis-service
2018,inversion,rad_M,retained,0.049030000000000004,harm,dis-service
2018,notill,mix_E,removed,0.03317027777777778,harm,dis-service
2018,notill,mix_M,removed,0.002215,harm,dis-service
2018,notill,nocc,removed,0.00395,harm,dis-service
2018,notill,rad_L,removed,0.030380833333333336,harm,dis-service
2018,notill,rad_M,removed,0.06739833333333334,harm,dis-service
2018,notill,mix_E,retained,0.018888055555555557,harm,dis-service
2018,notill,mix_M,retained,0.004063055555555556,harm,dis-service
2018,notill,nocc,retained,0.0034416666666666662,harm,dis-service
2018,notill,rad_L,retained,0.0299125,harm,dis-service
2018,notill,rad_M,retained,0.062080833333333335,harm,dis-service
2018,surface,mix_E,removed,0.05116416666666667,harm,dis-service
2018,surface,mix_M,removed,0.004670555555555555,harm,dis-service
2018,surface,nocc,removed,0.004988472222222222,harm,dis-service
2018,surface,rad_L,removed,0.03336083333333334,harm,dis-service
2018,surface,rad_M,removed,0.05019333333333334,harm,dis-service
2018,surface,mix_E,retained,0.03649416666666667,harm,dis-service
2018,surface,mix_M,retained,0.006290555555555555,harm,dis-service
2018,surface,nocc,retained,0.005936944444444444,harm,dis-service
2018,surface,rad_L,retained,0.019875833333333336,harm,dis-service
2018,surface,rad_M,retained,0.05243500000000001,harm,dis-service
2019,inversion,mix_E,removed,0.1090634467275,harm,dis-service
2019,inversion,mix_M,removed,0.03969534050127778,harm,dis-service
2019,inversion,nocc,removed,0.01914202508977778,harm,dis-service
2019,inversion,rad_L,removed,0.031207186330500004,harm,dis-service
2019,inversion,rad_M,removed,0.043242144547416664,harm,dis-service
2019,inversion,mix_E,retained,0.08244560985300001,harm,dis-service
2019,inversion,mix_M,retained,0.02692320723891667,harm,dis-service
2019,inversion,nocc,retained,0.013862287186333335,harm,dis-service
2019,inversion,rad_L,retained,0.024095508232250002,harm,dis-service
2019,inversion,rad_M,retained,0.043113624845583336,harm,dis-service
2019,notill,mix_E,removed,0.07532314527083334,harm,dis-service
2019,notill,mix_M,removed,0.030872549614055556,harm,dis-service
2019,notill,nocc,removed,0.025270650655416668,harm,dis-service
2019,notill,rad_L,removed,0.030611559139583338,harm,dis-service
2019,notill,rad_M,removed,0.04778705837144445,harm,dis-service
2019,notill,mix_E,retained,0.06987198655980556,harm,dis-service
2019,notill,mix_M,retained,0.023513104838333337,harm,dis-service
2019,notill,nocc,retained,0.012945722879888889,harm,dis-service
2019,notill,rad_L,retained,0.014328850379916666,harm,dis-service
2019,notill,rad_M,retained,0.05255443015041667,harm,dis-service
2019,surface,mix_E,removed,0.08049615503108333,harm,dis-service
2019,surface,mix_M,removed,0.032965442029111114,harm,dis-service
2019,surface,nocc,removed,0.039616757695583336,harm,dis-service
2019,surface,rad_L,removed,0.030530195462833337,harm,dis-service
2019,surface,rad_M,removed,0.046108550946166664,harm,dis-service
2019,surface,mix_E,retained,0.08793664785933333,harm,dis-service
2019,surface,mix_M,retained,0.021969701144611112,harm,dis-service
2019,surface,nocc,retained,0.028366882147777776,harm,dis-service
2019,surface,rad_L,retained,0.018819640304083337,harm,dis-service
2019,surface,rad_M,retained,0.038277843880916665,harm,dis-service
2018,inversion,mix_E,removed,0,pweed_nu,dis-service
2018,inversion,mix_M,removed,0,pweed_nu,dis-service
2018,inversion,nocc,removed,1,pweed_nu,dis-service
2018,inversion,rad_L,removed,1,pweed_nu,dis-service
2018,inversion,rad_M,removed,0,pweed_nu,dis-service
2018,inversion,mix_E,retained,0,pweed_nu,dis-service
2018,inversion,mix_M,retained,0,pweed_nu,dis-service
2018,inversion,nocc,retained,0,pweed_nu,dis-service
2018,inversion,rad_L,retained,0,pweed_nu,dis-service
2018,inversion,rad_M,retained,0,pweed_nu,dis-service
2018,notill,mix_E,removed,54,pweed_nu,dis-service
2018,notill,mix_M,removed,31,pweed_nu,dis-service
2018,notill,nocc,removed,4,pweed_nu,dis-service
2018,notill,rad_L,removed,11,pweed_nu,dis-service
2018,notill,rad_M,removed,12,pweed_nu,dis-service
2018,notill,mix_E,retained,22,pweed_nu,dis-service
2018,notill,mix_M,retained,8,pweed_nu,dis-service
2018,notill,nocc,retained,8,pweed_nu,dis-service
2018,notill,rad_L,retained,3,pweed_nu,dis-service
2018,notill,rad_M,retained,14,pweed_nu,dis-service
