plot_id,parc,block,straw,till_id,cctrt_id
3_20_05,32005,B2,removed,notill,mix_M
3_20_06,32006,B2,removed,notill,rad_L
3_26_01,32601,B2,retained,notill,rad_M
3_26_02,32602,B2,retained,notill,mix_E
3_26_03,32603,B2,retained,notill,nocc
3_26_05,32605,B2,retained,notill,mix_M
3_26_06,32606,B2,retained,notill,rad_L
3_27_01,32701,B2,retained,noninversion,rad_M
3_27_02,32702,B2,retained,noninversion,mix_E
3_27_03,32703,B2,retained,noninversion,nocc
3_27_05,32705,B2,retained,noninversion,mix_M
3_27_06,32706,B2,retained,noninversion,rad_L
3_28_01,32801,B2,retained,inversion,rad_M
3_28_02,32802,B2,retained,inversion,mix_E
3_28_03,32803,B2,retained,inversion,nocc
3_28_05,32805,B2,retained,inversion,mix_M
3_28_06,32806,B2,retained,inversion,rad_L
3_41_01,34101,B3,removed,inversion,nocc
3_41_02,34102,B3,removed,inversion,mix_E
3_41_03,34103,B3,removed,inversion,rad_M
3_41_04,34104,B3,removed,inversion,rad_L
3_41_05,34105,B3,removed,inversion,mix_M
3_43_01,34301,B3,removed,notill,nocc
3_43_02,34302,B3,removed,notill,mix_E
3_43_03,34303,B3,removed,notill,rad_M
3_43_04,34304,B3,removed,notill,rad_L
3_43_05,34305,B3,removed,notill,mix_M
3_44_01,34401,B3,removed,noninversion,nocc
3_44_02,34402,B3,removed,noninversion,mix_E
3_44_03,34403,B3,removed,noninversion,rad_M
3_44_04,34404,B3,removed,noninversion,rad_L
3_44_05,34405,B3,removed,noninversion,mix_M
3_46_02,34602,B3,retained,notill,mix_E
3_46_03,34603,B3,retained,notill,rad_M
3_46_04,34604,B3,retained,notill,rad_L
3_46_05,34605,B3,retained,notill,mix_M
3_46_06,34606,B3,retained,notill,nocc
3_47_02,34702,B3,retained,noninversion,mix_E
3_47_03,34703,B3,retained,noninversion,rad_M
3_47_04,34704,B3,retained,noninversion,rad_L
3_47_05,34705,B3,retained,noninversion,mix_M
3_47_06,34706,B3,retained,noninversion,nocc
3_48_02,34802,B3,retained,inversion,mix_E
3_48_03,34803,B3,retained,inversion,rad_M
3_48_04,34804,B3,retained,inversion,rad_L
3_48_05,34805,B3,retained,inversion,mix_M
3_48_06,34806,B3,retained,inversion,nocc
3_49_01,34901,B4,retained,notill,rad_M
3_49_02,34902,B4,retained,notill,mix_E
3_49_03,34903,B4,retained,notill,nocc
3_49_05,34905,B4,retained,notill,mix_M
3_49_06,34906,B4,retained,notill,rad_L
3_51_01,35101,B4,retained,inversion,rad_M
3_51_02,35102,B4,retained,inversion,mix_E
3_51_03,35103,B4,retained,inversion,nocc
3_51_05,35105,B4,retained,inversion,mix_M
3_51_06,35106,B4,retained,inversion,rad_L
3_52_01,35201,B4,retained,noninversion,rad_M
3_52_02,35202,B4,retained,noninversion,mix_E
3_52_03,35203,B4,retained,noninversion,nocc
3_52_05,35205,B4,retained,noninversion,mix_M
3_52_06,35206,B4,retained,noninversion,rad_L
3_53_01,35301,B4,removed,notill,rad_M
3_53_02,35302,B4,removed,notill,mix_E
3_53_04,35304,B4,removed,notill,nocc
3_53_05,35305,B4,removed,notill,mix_M
3_53_06,35306,B4,removed,notill,rad_L
3_54_01,35401,B4,removed,inversion,rad_M
3_54_02,35402,B4,removed,inversion,mix_E
3_54_04,35404,B4,removed,inversion,nocc
3_54_05,35405,B4,removed,inversion,mix_M
3_54_06,35406,B4,removed,inversion,rad_L
3_55_01,35501,B4,removed,noninversion,rad_M
3_55_02,35502,B4,removed,noninversion,mix_E
3_55_04,35504,B4,removed,noninversion,nocc
3_55_05,35505,B4,removed,noninversion,mix_M
3_55_06,35506,B4,removed,noninversion,rad_L
